School ID,school_name,type,size,budget
0,Stewart High School,Charter,1208,740504
1,Long High School,Charter,628,368636
2,Hood High School,Charter,930,578460
3,Lopez High School,District,3428,2248768
4,Vargas High School,Charter,2479,1574165
5,Thompson High School,Charter,1353,838860
6,Webb High School,District,3074,1942768
7,Farmer High School,District,3429,2235708
8,Greene High School,District,4690,3062570
9,Floyd High School,Charter,2104,1224528
10,Patterson High School,District,4389,2887962
